,Unnamed: 0.1,Unnamed: 0,istab,wind,stab,x,sig_x,sig_y,sig_z,how
208,208,208,4,4.1,E,1,0.9428229155732778,0.9428229155732778,0.008023716,fit
209,209,209,4,4.1,E,3.1622776601683795,2.3571158620589143,2.3571158620589143,0.053743892,fit
210,210,210,4,4.1,E,10,5.988885586268264,5.988885586268264,0.4211373718843663,fit
211,211,211,4,4.1,E,31.6227766,12.250656074497735,12.250656074497735,2.7712279911751576,fit
212,212,212,4,4.1,E,100,21.43443403,21.43443403,5.446364915337752,fit
213,213,213,4,4.1,E,316.227766,43.10457699761426,43.10457699761426,10.772852218990607,fit
214,214,214,4,4.1,E,1000,85.17141207443304,85.17141207443304,20.666074921823125,fit
215,215,215,4,4.1,E,1778.2794100389228,132.6099838492244,132.6099838492244,27.01639318969412,fit
216,216,216,4,4.1,E,3162.2776601683795,201.7258244321989,201.7258244321989,41.37509500298568,fit
217,217,217,4,4.1,E,5623.413251903491,280.8991997521906,280.8991997521906,60.24535276472371,fit
218,218,218,4,4.1,E,10000,433.1647871908428,433.1647871908428,102.66878808238836,fit
219,219,219,4,4.1,E,31622.776601683792,885.6395106547308,885.6395106547308,262.61883907174297,fit
220,220,220,4,4.1,E,100000,2512.236939,2512.236939,453.6939099584759,fit
260,260,260,4,6.7,E,0.001,0.001,0.001,0.001,fit
260,260,260,4,6.7,E,1,290.1544173708574,290.1544173708574,1.8440748290263824,fit
261,261,261,4,6.7,E,316.227766,291.1544173708574,291.1544173708574,4.740208363639787,fit
262,262,262,4,6.7,E,1000,598.3911195411907,598.3911195411907,10.092607491135222,fit
263,263,263,4,6.7,E,1778.2794100389228,769.9906730081302,769.9906730081302,12.640272918514958,fit
264,264,264,4,6.7,E,3162.2776601683795,49981.32067514801,49981.32067514801,13.640272918514958,fit
265,265,265,4,6.7,E,5623.413251903491,49982.32067514801,49982.32067514801,33.96474430100756,fit
266,266,266,4,6.7,E,10000,49983.32067514801,49983.32067514801,102.61478666463634,fit
267,267,267,4,6.7,E,31622.776601683792,49984.32067514801,49984.32067514801,297.2378048702493,fit
268,268,268,4,6.7,E,100000,49985.32067514801,49985.32067514801,648.4459233628268,fit
321,0,,4,6.7,E,3.1622776601683795,290.3541422243695,290.3541422243695,2.2273184695660966,fit
322,1,,4,6.7,E,10,290.55400455646105,290.55400455646105,2.690209468066702,fit
323,2,,4,6.7,E,31.6227766,290.7540044617637,290.7540044617637,3.2493004844006936,fit
324,3,,4,6.7,E,100,290.9541420349752,290.9541420349752,3.924584224110241,fit
52,52,52,5,0.8,F,0.001,0.001,0.001,0.001,fit
52,52,52,5,0.8,F,1,1.271213703969602,1.271213703969602,0.030741297,fit
53,53,53,5,0.8,F,3.1622776601683795,4.481255819367067,4.481255819367067,0.042767706,fit
54,54,54,5,0.8,F,10,12.86733096837302,12.86733096837302,0.070496062,fit
55,55,55,5,0.8,F,31.6227766,29.49163667497056,29.49163667497056,0.1646862812193245,fit
56,56,56,5,0.8,F,100,57.24698201,57.24698201,1.876132306203111,fit
57,57,57,5,0.8,F,316.227766,246.82590128024256,246.82590128024256,15.419437620993907,fit
58,58,58,5,0.8,F,1000,535.1774349140076,535.1774349140076,24.043084111627007,fit
59,59,59,5,0.8,F,1778.2794100389228,782.6100061897342,782.6100061897342,39.36125418,fit
